ratio	name	source_page	source_url	subgroup_monzo	fjs_name	xen_url
2646/2645	biyativicema (biyativice comma)	2646/2645	https://en.xen.wiki/w/2646/2645		biyativicema	https://en.xen.wiki/w/2646/2645
343/324	gamelismic minor second	343/324	https://en.xen.wiki/w/343/324		gamelismic minor second	https://en.xen.wiki/w/343/324
3971/3969	heartlandisma	3971/3969	https://en.xen.wiki/w/3971/3969		heartlandisma	https://en.xen.wiki/w/3971/3969
6877/6875	grossvicema (grossvice comma)	6877/6875	https://en.xen.wiki/w/6877/6875		grossvicema	https://en.xen.wiki/w/6877/6875
2025/2024	cupcake comma (cupcakesma)	2025/2024	https://en.xen.wiki/w/2025/2024		cupcake comma	https://en.xen.wiki/w/2025/2024
8991/8990	solidarity comma (solidaritisma)	8991/8990	https://en.xen.wiki/w/8991/8990		solidarity comma	https://en.xen.wiki/w/8991/8990
1352/1331	lovecraft comma (lovecraftsma)	1352/1331	https://en.xen.wiki/w/1352/1331		lovecraft comma	https://en.xen.wiki/w/1352/1331
1323/1280	septimal 2/7-tone	1323/1280	https://en.xen.wiki/w/1323/1280		septimal 2/7-tone	https://en.xen.wiki/w/1323/1280
1350/1331	large tetracot diesis	1350/1331	https://en.xen.wiki/w/1350/1331		large tetracot diesis	https://en.xen.wiki/w/1350/1331
2200/2187	tetracot kleisma	2200/2187	https://en.xen.wiki/w/2200/2187		tetracot kleisma	https://en.xen.wiki/w/2200/2187
2240/2187	septimal inframinor second	2240/2187	https://en.xen.wiki/w/2240/2187		septimal inframinor second	https://en.xen.wiki/w/2240/2187
363/361	godzillisma	363/361	https://en.xen.wiki/w/363/361		godzillisma	https://en.xen.wiki/w/363/361
400/399	devichroma	400/399	https://en.xen.wiki/w/400/399		devichroma	https://en.xen.wiki/w/400/399
729/722	undevicesimal diaschisma	729/722	https://en.xen.wiki/w/729/722		undevicesimal diaschisma	https://en.xen.wiki/w/729/722
752/729	47-limit quartertone comma	752/729	https://en.xen.wiki/w/752/729		47-limit quartertone comma	https://en.xen.wiki/w/752/729
1521/1520	pinkanberry comma	1521/1520	https://en.xen.wiki/w/1521/1520		pinkanberry comma	https://en.xen.wiki/w/1521/1520
343/338	sooty fox comma	343/338	https://en.xen.wiki/w/343/338		sooty fox comma	https://en.xen.wiki/w/343/338
351/343	keladisma	351/343	https://en.xen.wiki/w/351/343		keladisma	https://en.xen.wiki/w/351/343
760/759	squadronisma	760/759	https://en.xen.wiki/w/760/759		squadronisma	https://en.xen.wiki/w/760/759
343/342	nutrisma	343/342	https://en.xen.wiki/w/343/342		nutrisma	https://en.xen.wiki/w/343/342
